Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   80466   413023     6515   405548        0   621262      562 1636455K 18202806  753600K  270074K  6234517      234093    590993  2707460   569740  363019K  423756K 55998183  2011938  307260K  312219K 
   63641   418644     7540   409673        0   621081      619    26512     1947     9012        3        0      235758    600099  2701839   575604     5588        0      789        0     7281        0 
   57093   420708     7736   411950        0   620810      597    17982      692     5551        4        0      235993    604401  2697786   578218     3780        0      186        0     3836        0 
   45512   423167     8093   413417        0   620979      612    17485      922     4366        0        0      236486    608191  2695572   585288     2077        0      237        0     7447        0 
   42924   424061     8123   414476        0   620763      689     7888      257     2589        0        0      236480    610180  2693014   586088     2524        0       15        0     1724        0 
   47785   419065     8335   409493        0   620457     1108    13836       49     6677      120        0      236907    599986  2690037   591300     2926        0      207        0     6246        0 
   42509   420895     8372   410789        0   620513     1067     7351      297     1604        0        0      236996    603060  2687625   593079     2409        0       81        0     2431        0 
   40174   421959     8461   411965        0   619766     1099     6728      277     1962        0        0      237284    605101  2685807   593976     1661        0       48        0     1407        0 
   38834   422779     8487   412676        0   619675     1099     2987       29      610        0        0      237278    606664  2683426   593701     1955        0       30        0      704        0 
   32554   424479     8930   413962        0   619762     1042     8874      331     1504        0        0      237850    609521  2681161   596492     2265        0      564        0     3364        0 
   26793   426647     9103   416193        0   619788     1042     8448      241     2367       10        8      238200    613743  2677200   597854     3955        0       73        0     2808        0 
   22697   428388     9846   417069        0   619637     1042     4653       28     1388        3        0      239640    615663  2675281   598674     1916        0      156        0     1276        0 
    4233   412286    12560   398478        0   621335     3811   143518     6366    50408   138365      267      249762    573562  2730137   647423    29004    84266     6151      299    20883        0 
    4512   410522    12407   396845        0   621373     3879     8080      301     2518     1973        2      249806    569968  2734719   650798     2079     6975      109        0     1599        0 
    3687   410905     1523   407894        0   621561     3898    30255      281     5499    10057       34      239819    580503  2725774   651012    13741     4964     1778      773     2418        0 
    4176   410073     1681   406765        0   621394     3892     6029       60     1790     4656       32      238703    579816  2725250   652309     2041     2291       50        0     1589        0 
    4716   408974      980   407030        0   621530     4223    15815     1299     5492     9514       38      238647    578337  2727529   653106     1962     4600     1026        4      768        0 
   54079   408603     1123   406175        0   620895     4282    22963     1430     4340     5227        8      238876    577025  2729018   605477     7550     9059      288      185     3252    48184 
   72089   411808     2297   408599        0   620893     4184    15228       51     8011        0        0      240157    582547  2724039   580703     4969        0     1063        0     3953    24468 
   67618   413060     1714   410457        0   620912     4184    15683       50     9962        0        0      240374    584857  2721306   582778     1882        0      160        0     3187        0 
   63421   414002     2342   410629        0   620874     4186     6410      503     1621        0        0      241072    585901  2720373   585222      803        0      466        0     2674        0 
Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   61334   414750     2377   411214        0   620764     4254 1636845K 18218248  753729K  270244K  6234906      241074    587267  2718813   585930  363115K  423868K 56011692  2013199  307340K  312292K 
   49288   418302     2607   415625        0   620883     4155    36539      734     6097       20        0      241456    595078  2709227   589782     7274        0      156        0     6680        0 
