listing_id,platform,title,price_raw,condition,seller_name,url
ebay_au:267710656346,EBAY_AU,Razer Blade 18 Ultra 9 275HX RTX 5090 64GB 4TB UHD 240Hz/FHD 440Hz Gaming Laptop,"(AU $7,324.68)",Opened – never used,Pandota,https://www.ebay.com.au/itm/267710656346
ebay_au:267691380950,EBAY_AU,Dell Pro Max 16 Plus Ultra 7 265HX RTX PRO 2000 64GB 1TB 4K OLED Touch Laptop,,,Pandota,https://www.ebay.com.au/itm/267691380950
ebay_au:267581800889,EBAY_AU,Alienware Aurora R12 Gaming PC i9 11900K 32GB RAM 2TB SSD RTX 3090 Win 11,"AU $2,999.00",Very Good - Refurbished,UN Tech,https://www.ebay.com.au/itm/267581800889
ebay_au:327221351223,EBAY_AU,Dell Precision 7670 Workstation i9 64GB RTX A4500 1.5TB 4K Touch Win 11 Pro AI,"AU $3,545.66",Used,$ellbay,https://www.ebay.com.au/itm/327221351223
ebay_au:406841817003,EBAY_AU,Dell Precision 7550 Laptop: i7-10850H 32GB RAM 1TB SSD Quadro RTX 5000 Warranty,"(AU $2,196.06)",Used,GreenGreenStore,https://www.ebay.com.au/itm/406841817003
ebay_au:406793622034,EBAY_AU,"Dell Pro Max 18 Plus Laptop: Ultra 9 285HX, 64GB RAM, 1TB SSD, RTX 3000 Warranty","AU $6,439.88*",Excellent - Refurbished,greengreenstore,https://www.ebay.com.au/itm/406793622034
ebay_au:358672186388,EBAY_AU,"Acer Predator Helios 18” Gaming Laptop, 250Hz, RTX 4090, I9-14900HX, 32GB, 1TB","(AU $3,656.59)",Excellent - Refurbished,Laptop-Goods,https://www.ebay.com.au/itm/358672186388
ebay_au:277283436885,EBAY_AU,"AORUS 17X AZF 17.3"" 2560x1440 240Hz i9-13950HX 32GB 2TB SSD RTX 4090 W11H","(AU $3,974.54)",Very Good - Refurbished,AVE_Electronics,https://www.ebay.com.au/itm/277283436885
ebay_au:358683902569,EBAY_AU,"Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 64GB RAM 512GB SSD Win11 Pro","(AU $2,068.47)",Used,igpered-0,https://www.ebay.com.au/itm/358683902569
ebay_au:358683915614,EBAY_AU,"Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 8GB RAM 512GB SSD Win11 Pro","AU $1,695.17*",Used,igpered-0,https://www.ebay.com.au/itm/358683915614
ebay_au:407031055086,EBAY_AU,"Acer Predator  PH18-72 Intel i9-14900HX 32Gb RAM 1TB SSD 16Gb RTX4090 18"" 250Hz","AU $3,999.00",Used,Computer Remakers      0432 717 970,https://www.ebay.com.au/itm/407031055086
ebay_au:326825976757,EBAY_AU,ThinkPad P15 Gen 2 i9 5.0GHz RTX A5000 4K UHD HDR 600Nits 64GB 2TB Premier+ADP,"AU $3,344.95",Brand New,ThinkPad Machines and Accessories,https://www.ebay.com.au/itm/326825976757
ebay_au:117240217407,EBAY_AU,"HP ZBook Fury 16 G9 16"" 12th Gen i7/i9 16/64GB RAM 256/1TB SSD RTX3000A GPU, G","(AU $2,202.35)",Good - Refurbished,Orbit,https://www.ebay.com.au/itm/117240217407
ebay_au:366395675100,EBAY_AU,"HyperX OMEN MAX Gaming Laptop 16"" 2.5K OLED Ultra 9 290HX 32GB 1TB SSD RTX5090","AU $5,799.00",Brand New,HP Official Store,https://www.ebay.com.au/itm/366395675100
ebay_au:366348476691,EBAY_AU,"HP OMEN MAX Gaming Laptop 16""WQXGA AI 9 HX 375 32GB 1TBSSD RTX5080","AU $4,249.00",Brand New,hp_official,https://www.ebay.com.au/itm/366348476691
ebay_au:336626690031,EBAY_AU,HP Z4 G4 Workstation - Xeon W-2245 64GB RAM 1TB SSD RTX 3090 24GB W11P - 1YrWty,"AU $2,999.00",Used,MegaBuy Technology Superstore,https://www.ebay.com.au/itm/336626690031
ebay_au:366504869607,EBAY_AU,ROG Strix RTX 4090 18inch Laptop,Item not available,,zombie-5793,https://www.ebay.com.au/itm/366504869607
ebay_au:366496934240,EBAY_AU,MSI Stealth A18 HX AI+ GeForce Ultra 9 64G 2TB RTX 5090 Win 11 Pro (Like New!!),Item not available,,m48749,https://www.ebay.com.au/itm/366496934240
ebay_au:336085396364,EBAY_AU,Alienware Aurora R12 Gaming PC i9-11900KF 32GB RAM 1TB SSD 2TB HDD RTX 3090 24GB,Item not available,,Technology Locker,https://www.ebay.com.au/itm/336085396364
ebay_au:298378728125,EBAY_AU,Acer Predator Triton 17 X QHD+ 2.2GHz i9-13900HX 64GB 2TB SSD RTX 4090 Very Good,Item not available,,ItsWorthMore,https://www.ebay.com.au/itm/298378728125
