order,id,date,time,title,url,visitCount,typedCount,transition
0,20022,6/17/2026,2:51:22,tuf gaming a14amd max\64gb - Google Shopping,https://www.google.com/search?sca_esv=ec2bff8bd1e2ef21&sxsrf=ANbL-n7oqsPmfpCZZGXU56F8DmX9mtYBRQ:1781628651399&udm=28&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKp9lEhFAN_4ain3HSNQWw-mI4C1ELY88XaJ57aZGHEMB2MFGv1IWRDzqHU7Je8enJ5oCmuVjrwrSg7-2tm4IvmGsCFCNeFctK18gxfz8nKWX45EfnU8uVIIBbTQ9TY2WUM5lqazuehBn_sNcSyv-PqXiT_9Xzd7MmbIBDNASzO6R9tJlnCfvqlYLKOUZSDc2Bz1Of00w&q=tuf+gaming+a14amd+max%5C64gb&ved=1t:220175&ictx=111&biw=1758&bih=1276&dpr=2,1,0,link
1,20019,6/17/2026,2:51:04,tuf gaming a14amd max\64gb - Google Search,https://www.google.com/search?q=tuf+gaming+a14amd+max%5C64gb&sca_esv=ec2bff8bd1e2ef21&sxsrf=ANbL-n5UCVfJXI6BdwLrBMcx-hBZLvLh3w%3A1781628638595&ei=3n4xapzuI5jk2roPzbjogAM&biw=1758&bih=1276&ved=0ahUKEwic1f_wm4yVAxUYslYBHU0cGjAQ4dUDCBI&uact=5&oq=tuf+gaming+a14amd+max%5C64gb&gs_lp=Egxnd3Mtd2l6LXNlcnAiGnR1ZiBnYW1pbmcgYTE0YW1kIG1heFw2NGdiMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIEMgUQABjvBTIIEAAYgAQYogRIxT1QthlY_DxwAXgBkAEAmAHWAaABmgmqAQUwLjYuMbgBA8gBAPgBAZgCB6AClQjCAgoQABhHGNYEGLADmAMAiAYBkAYIkgcFMS41LjGgB_EUsgcFMC41LjG4B40IwgcFMC42LjHIBxOACAE&sclient=gws-wiz-serp,4,0,form_submit
2,20021,6/17/2026,2:50:59,"Asus TUF Gaming A14 14"" 2.5K 165Hz IPS Laptop, Ryzen AI 7 350, 32GB RAM, 5TB (1TB + 4TB) SSD, RTX 5060, Windows 11 Home",https://www.jw.com.au/product/asus-tuf-gaming-a14-14-2-5k-165hz-ips-laptop-ryzen-ai-7-350-32gb-ram-5tb-1tb-4tb-ssd-rtx-5060-windows-11-home?gad_source=1&gad_campaignid=17413494642&gbraid=0AAAAADd-mYlrSNcCCra5YkcAL9QBN7LAn&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr46TIouCs_BMGhf6cKZ4SjYA78k8_CM5nbAxwzMZ8Kaz9ObzBM_x3hoCQGsQAvD_BwE,1,0,link
3,20019,6/17/2026,2:50:52,tuf gaming a14amd max\64gb - Google Search,https://www.google.com/search?q=tuf+gaming+a14amd+max%5C64gb&sca_esv=ec2bff8bd1e2ef21&sxsrf=ANbL-n5UCVfJXI6BdwLrBMcx-hBZLvLh3w%3A1781628638595&ei=3n4xapzuI5jk2roPzbjogAM&biw=1758&bih=1276&ved=0ahUKEwic1f_wm4yVAxUYslYBHU0cGjAQ4dUDCBI&uact=5&oq=tuf+gaming+a14amd+max%5C64gb&gs_lp=Egxnd3Mtd2l6LXNlcnAiGnR1ZiBnYW1pbmcgYTE0YW1kIG1heFw2NGdiMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIEMgUQABjvBTIIEAAYgAQYogRIxT1QthlY_DxwAXgBkAEAmAHWAaABmgmqAQUwLjYuMbgBA8gBAPgBAZgCB6AClQjCAgoQABhHGNYEGLADmAMAiAYBkAYIkgcFMS41LjGgB_EUsgcFMC41LjG4B40IwgcFMC42LjHIBxOACAE&sclient=gws-wiz-serp,4,0,link
4,20019,6/17/2026,2:50:51,tuf gaming a14amd max\64gb - Google Search,https://www.google.com/search?q=tuf+gaming+a14amd+max%5C64gb&sca_esv=ec2bff8bd1e2ef21&sxsrf=ANbL-n5UCVfJXI6BdwLrBMcx-hBZLvLh3w%3A1781628638595&ei=3n4xapzuI5jk2roPzbjogAM&biw=1758&bih=1276&ved=0ahUKEwic1f_wm4yVAxUYslYBHU0cGjAQ4dUDCBI&uact=5&oq=tuf+gaming+a14amd+max%5C64gb&gs_lp=Egxnd3Mtd2l6LXNlcnAiGnR1ZiBnYW1pbmcgYTE0YW1kIG1heFw2NGdiMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIEMgUQABjvBTIIEAAYgAQYogRIxT1QthlY_DxwAXgBkAEAmAHWAaABmgmqAQUwLjYuMbgBA8gBAPgBAZgCB6AClQjCAgoQABhHGNYEGLADmAMAiAYBkAYIkgcFMS41LjGgB_EUsgcFMC41LjG4B40IwgcFMC42LjHIBxOACAE&sclient=gws-wiz-serp,4,0,link
5,20019,6/17/2026,2:50:51,tuf gaming a14amd max\64gb - Google Search,https://www.google.com/search?q=tuf+gaming+a14amd+max%5C64gb&sca_esv=ec2bff8bd1e2ef21&sxsrf=ANbL-n5UCVfJXI6BdwLrBMcx-hBZLvLh3w%3A1781628638595&ei=3n4xapzuI5jk2roPzbjogAM&biw=1758&bih=1276&ved=0ahUKEwic1f_wm4yVAxUYslYBHU0cGjAQ4dUDCBI&uact=5&oq=tuf+gaming+a14amd+max%5C64gb&gs_lp=Egxnd3Mtd2l6LXNlcnAiGnR1ZiBnYW1pbmcgYTE0YW1kIG1heFw2NGdiMgUQABjvBTIFEAAY7wUyCBAAGIAEGKIEMgUQABjvBTIIEAAYgAQYogRIxT1QthlY_DxwAXgBkAEAmAHWAaABmgmqAQUwLjYuMbgBA8gBAPgBAZgCB6AClQjCAgoQABhHGNYEGLADmAMAiAYBkAYIkgcFMS41LjGgB_EUsgcFMC41LjG4B40IwgcFMC42LjHIBxOACAE&sclient=gws-wiz-serp,4,0,form_submit
6,20018,6/17/2026,2:50:38,tuf gaming a14 fa401ea-rg007w gaming laptop 64gb - Google Search,https://www.google.com/search?q=tuf+gaming+a14+fa401ea-rg007w+gaming+laptop+64gb&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyDAgFECMYJxjqAhitBjIMCAYQIxgnGOoCGK0GMgwIBxAjGCcY6gIYrQYyGAgIEAAYQhiRAhi0AhjqAhiABBiKBRjnBjIYCAkQABhCGJECGLQCGOoCGIAEGIoFGOcGMhgIChAAGEIYkQIYtAIY6gIYgAQYigUY5wYyGAgLEAAYQhiRAhi0AhjqAhiABBiKBRjnBtIBCTE1NjdqMGoxNagCDLACAfEFswZBI3g2we_xBbMGQSN4NsHv&sourceid=chrome&ie=UTF-8,1,0,generated
7,20017,6/17/2026,2:49:59,TUF Gaming A14 FA401EA-RG007W Gaming Laptop 64gb - Google Search,https://www.google.com/search?q=TUF+Gaming+A14+FA401EA-RG007W+Gaming+Laptop+64gb&oq=TUF+Gaming+A14+FA401EA-RG007W+Gaming+Laptop+64gb&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABjvBTIHCAIQABjvBTIHCAMQABjvBTIKCAQQABiABBiiBNIBCDU0MjZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,1,0,generated
8,13916,6/17/2026,2:48:22,Laptops｜ASUS Australia,https://www.asus.com/au/store/laptops/,2,0,link
9,10009,6/17/2026,2:48:12,ASUS Online Store,https://www.asus.com/au/store/,15,0,link
10,20016,6/17/2026,2:47:45,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets.html?graphics=nvidia-rtx%E2%84%A2-pro-3000-blackwell+nvidia-rtx%E2%84%A2-pro-4000-blackwell,1,0,link
11,20015,6/17/2026,2:47:23,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets.html?graphics=nvidia-rtx%E2%84%A2-pro-4000-blackwell,1,0,link
12,9839,6/17/2026,2:46:57,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets.html,6,0,link
13,20014,6/17/2026,2:46:49,"HP ZBook Power 16 inch G11 A Mobile Workstation PC, Silver - 16-inch (D9CL5PT-BN2) - Shop HP.com Australia",https://www.hp.com/au-en/shop/hp-zbook-power-16-inch-g11-a-mobile-workstation-pc-d9cl5pt-2.html,1,0,link
14,20013,6/17/2026,2:46:20,"HP ZBook Power 16 inch G11 A Mobile Workstation PC, Silver - 16-inch (D9HR6PT-BN2) - Shop HP.com Australia",https://www.hp.com/au-en/shop/hp-zbook-power-16-inch-g11-a-mobile-workstation-pc-d9hr6pt-2.html?facetref=61256842eb37133f,1,0,link
15,20012,6/17/2026,2:45:43,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?p=3&product_list_order=price_desc&scrnsizeus=16-inch+18-inch,1,0,link
16,11399,6/17/2026,2:45:06,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?p=2&product_list_order=price_desc&scrnsizeus=16-inch+18-inch,2,0,link
17,11398,6/17/2026,2:44:56,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?product_list_order=price_desc&scrnsizeus=16-inch+18-inch,2,0,link
18,20011,6/17/2026,2:44:48,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?product_list_order=bv_average_overall_rating_desc&scrnsizeus=16-inch+18-inch,1,0,link
19,20010,6/17/2026,2:44:30,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?scrnsizeus=16-inch+18-inch,1,0,link
20,10171,6/17/2026,2:44:21,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html?scrnsizeus=16-inch,2,0,link
21,618,6/17/2026,2:38:52,"HP Sale, Deals & Offers - Shop HP.com Australia",https://www.hp.com/au-en/shop/sale-offers.html,7,0,link
22,20009,6/17/2026,2:38:09,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets/business-laptops.html?p=5&product_list_order=price_desc&scrnsizeus=14-inch+16-inch+18-inch,1,0,link
23,20008,6/17/2026,2:33:01,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets/business-laptops.html?p=4&product_list_order=price_desc&scrnsizeus=14-inch+16-inch+18-inch,1,0,link
24,20007,6/17/2026,2:32:21,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets/business-laptops.html?p=3&product_list_order=price_desc&scrnsizeus=14-inch+16-inch+18-inch,1,0,link
25,20006,6/17/2026,2:31:38,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets/business-laptops.html?p=2&product_list_order=price_desc&scrnsizeus=14-inch+16-inch+18-inch,1,0,link
26,20005,6/17/2026,2:31:28,HP Laptops - Lightweight & Portable - Shop HP.com Australia,https://www.hp.com/au-en/shop/laptops-tablets/business-laptops.html?product_list_order=price_desc&scrnsizeus=14-inch+16-inch+18-inch,1,0,link
