date_found,source_batch,track,pathway,category,item_name,price_aud,gpu_model,vram_gb,unified_memory_gb,ram_gb,cpu_model,condition,retailer,url,au_stock_confirmed,verification_status,status,notes
2026-04-07,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,touchscreen + 32 GB + premium feel,UNKNOWN,RTX 4050,UNKNOWN,UNKNOWN,32,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop for iMac Replacement (69d48ad0-58e0-839f-9899-309d74727abc); message 26ce2026-6228-4a7e-b26d-275240b258ea.
2026-04-07,ChatGPT-Export,1.5,UNKNOWN,Desktop,Precision,UNKNOWN,RTX 2060,UNKNOWN,UNKNOWN,32,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop for iMac Replacement (69d48ad0-58e0-839f-9899-309d74727abc); message 26ce2026-6228-4a7e-b26d-275240b258ea.
2026-04-07,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Spectre x360 16,UNKNOWN,RTX 4050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Laptop for iMac Replacement (69d48ad0-58e0-839f-9899-309d74727abc); message 26ce2026-6228-4a7e-b26d-275240b258ea.
2026-04-11,ChatGPT-Export,1,1A,Laptop,Yoga AIO 27 Gen 10,1899,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,the time of its 2025 comparison,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message ab81ffe9-fa63-4477-8389-79a4a0e15aa6.
2026-04-12,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Spectre x360 16-aa0012TX,3499,RTX 4050,UNKNOWN,UNKNOWN,32,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
2026-04-12,ChatGPT-Export,1,1A,Laptop,HP ZBook Firefly 16 G11 (A1PH5PT),3199,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Staticice-indexed Scorptec pricing,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
2026-04-12,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,HP Victus 16.1,1888,RTX 4060,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Harvey Norman,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
2026-04-12,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Predator Helios Neo 16,2999,RTX 4060,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Harvey Norman,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
2026-04-12,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,Predator Triton 14 AI,5298,RTX 5070,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Harvey Norman. Well over ceiling,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
2026-04-12,ChatGPT-Export,UNKNOWN,UNKNOWN,UNKNOWN,ASUS ProArt P16,4999,RTX 5070,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Scorptec. Also over ceiling,UNKNOWN,UNKNOWN,Needs Verification,Watchlist,ChatGPT export provenance: Rational Computing Strategy (69d959a3-4650-839f-83e6-f265ebefeb24); message 3554d45d-1624-49b8-bc84-d8abdfa4d583.
